Dataset name: Balance Sheet Items; Frequency: Monthly; Reference area: Euro area (changing composition); Adjustment indicator: Neither seasonally nor working day adjusted; BS reference sector breakdown: MFIs excluding ESCB; Balance sheet item: Loans; Original maturity: Total; Data type: Outstanding amounts at the end of the period (stocks); Counterpart area: Euro area (changing composition); BS counterpart sector: Non-Financial corporations (S.11); Currency of transaction: All currencies combined; Balance sheet suffix: Euro
,BSI.M.U2.N.A.A20.A.1.U2.2240.Z01.E
,"Euro area (changing composition), Outstanding amounts at the end of the period (stocks), MFIs excluding ESCB reporting sector - Loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted"
Collection:,End of period (E)
Period\Unit:,[Millions of Euro]
2013Dec,4345031
2013Nov,4371124
2013Oct,4377105
2013Sep,4393501
2013Aug,4399532
2013Jul,4429370
2013Jun,4446549
2013May,4460796
2013Apr,4478485
2013Mar,4503066
2013Feb,4505403
2013Jan,4523368
2012Dec,4535894
2012Nov,4636905
2012Oct,4638505
2012Sep,4652406
2012Aug,4671145
2012Jul,4706174
2012Jun,4700476
2012May,4705155
2012Apr,4704316
2012Mar,4699292
2012Feb,4710574
2012Jan,4722040
2011Dec,4719992
2011Nov,4757578
2011Oct,4751635
2011Sep,4755287
2011Aug,4723028
2011Jul,4742488
2011Jun,4739196
2011May,4719348
2011Apr,4702011
2011Mar,4705525
2011Feb,4704260
2011Jan,4698939
2010Dec,4668458
2010Nov,4695073
2010Oct,4673314
2010Sep,4687455
2010Aug,4670732
2010Jul,4680807
2010Jun,4697866
2010May,4687423
2010Apr,4666454
2010Mar,4679720
2010Feb,4689033
2010Jan,4685966
2009Dec,4691299
2009Nov,4720760
2009Oct,4722030
2009Sep,4741388
2009Aug,4755469
2009Jul,4787320
2009Jun,4804951
2009May,4828255
2009Apr,4846359
2009Mar,4843932
2009Feb,4864967
2009Jan,4877118
2008Dec,4826989
2008Nov,4843781
2008Oct,4817394
2008Sep,4762656
2008Aug,4723388
2008Jul,4710388
2008Jun,4671969
2008May,4620188
2008Apr,4592527
2008Mar,4548607
2008Feb,4498600
2008Jan,4461208
2007Dec,4389026
2007Nov,4319916
2007Oct,4267546
2007Sep,4226210
2007Aug,4181432
2007Jul,4163708
2007Jun,4100318
2007May,4040039
2007Apr,3990479
2007Mar,3951572
2007Feb,3914935
2007Jan,3894570
2006Dec,3839537
2006Nov,3801863
2006Oct,3763628
2006Sep,3726397
2006Aug,3673974
2006Jul,3680512
2006Jun,3635421
2006May,3590824
2006Apr,3562919
2006Mar,3520169
2006Feb,3479069
2006Jan,3439678
2005Dec,3404842
2005Nov,3375301
2005Oct,3344347
2005Sep,3322634
2005Aug,3296052
2005Jul,3309711
2005Jun,3283311
2005May,3234313
2005Apr,3215310
2005Mar,3189366
2005Feb,3173060
2005Jan,3169582
2004Dec,3152245
2004Nov,3140010
2004Oct,3122022
2004Sep,3104058
2004Aug,3095182
2004Jul,3102039
2004Jun,3093093
2004May,3085211
2004Apr,3076351
2004Mar,3055363
2004Feb,3041675
2004Jan,3042214
2003Dec,3036586
2003Nov,3026533
2003Oct,3011341
2003Sep,3007915
2003Aug,3010845
2003Jul,3004225
2003Jun,3006706
2003May,2986510
2003Apr,2989877
2003Mar,2980749
2003Feb,2979720
2003Jan,2973746
2002Dec,2965435
2002Nov,2961098
2002Oct,2957988
2002Sep,2948752
2002Aug,2935270
2002Jul,2948814
2002Jun,2952542
2002May,2945023
2002Apr,2943918
2002Mar,2932512
2002Feb,2907358
2002Jan,2907138
2001Dec,2903196
2001Nov,2894953
2001Oct,2869732
2001Sep,2866584
2001Aug,2832417
2001Jul,2851590
2001Jun,2851798
2001May,2817449
2001Apr,2811979
2001Mar,2795799
2001Feb,2752689
2001Jan,2741480
2000Dec,2687456
2000Nov,2678120
2000Oct,2651545
2000Sep,2635890
2000Aug,2598304
2000Jul,2586045
2000Jun,2564066
2000May,2544973
2000Apr,2542421
2000Mar,2506715
2000Feb,2475917
2000Jan,2460514
1999Dec,2432889
1999Nov,2413860
1999Oct,2381647
1999Sep,2357177
1999Aug,2344997
1999Jul,2358155
1999Jun,2341945
1999May,2295510
1999Apr,2286025
1999Mar,2275148
1999Feb,2265558
1999Jan,2277304
1998Dec,2291528
1998Nov,2266816
1998Oct,2243529
1998Sep,2226742
1998Aug,2212966
1998Jul,2221466
1998Jun,2203199
1998May,2174373
1998Apr,2171021
1998Mar,2163245
1998Feb,2150240
1998Jan,2141771
1997Dec,2131256
1997Nov,2110149
1997Oct,2098248
1997Sep,2083969